Mainboard Time [s],RTK GPS Lat [deg],RTK GPS Lon [deg],Stiffness [N/m],R_Squared,Leg Ind
365.59302,45.345397899999995,-121.7089611,1695.2660841966135,0.9758679856385516,2
370.40402,45.345397399999996,-121.7089601,1960.9993285664564,0.9107388095206947,0
374.898,45.3453984,-121.7089606,2183.810374164215,0.9651454555185256,3
379.55103,45.3453978,-121.70895979999999,2853.451820166999,0.9712065468569323,1
384.872,45.3453978,-121.7089611,1272.8871474140367,0.9402293187426342,2
390.84503,45.345397999999996,-121.70895949999999,1958.261321438717,0.9186379639370005,0
396.747,45.3453989,-121.70895999999999,2075.390036173292,0.9624107427844317,3
402.80502,45.345398599999996,-121.7089587,3001.5102540192975,0.9243766484521364,1
408.72903,45.345398599999996,-121.7089599,1446.1008369269546,0.966725773570374,2
414.71802,45.3453988,-121.70895829999999,2377.2793399420157,0.9685005957152549,0
420.50903,45.3453995,-121.7089587,2108.087933355916,0.9657497944651574,3
426.372,45.3453995,-121.7089577,187.9223564080602,0.2706481797512099,1
432.21503,45.3453995,-121.708959,1648.6241696455818,0.9179805907270486,2
438.09103,45.345399699999994,-121.7089575,1951.8148363594623,0.9443408471381447,0
443.92,45.3454005,-121.708958,1338.3195773861482,0.8539167632702825,3
449.95102,45.345400399999995,-121.7089565,447.2070990168458,0.6163993729285119,1
455.80603,45.3454003,-121.7089579,1547.3898474250072,0.8932903394857546,2
461.75302,45.3454006,-121.70895639999999,2145.9692126404616,0.887316469980698,0
467.46103,45.3454015,-121.70895689999999,2145.793790305537,0.9203667454201236,3
473.584,45.3454012,-121.70895549999999,2145.753774459687,0.966388246566427,1
479.40103,45.3454011,-121.70895689999999,2305.2739755767616,0.9442674342160985,2
485.25104,45.3454013,-121.7089556,2204.4914285310374,0.9101720161470466,0
491.084,45.345402199999995,-121.7089561,562.3601839040792,0.5081208005365134,3
497.165,45.345402,-121.7089548,2302.163153221403,0.9662115269220181,1
503.114,45.3454019,-121.70895619999999,1011.4802342529514,0.9273164156505085,2
509.16702,45.345402199999995,-121.7089546,1701.7162664081766,0.9442460888710592,0
514.815,45.345403,-121.70895519999999,723.2018121325273,0.5841481029017745,3
520.593,45.345403,-121.70895399999999,300.00954598697,0.509591428357983,1
526.55304,45.345402799999995,-121.7089551,1088.945320147357,0.9346559427417895,2
532.601,45.3454032,-121.7089537,1348.6825980364147,0.892678102494418,0
538.43805,45.345403999999995,-121.7089544,2297.2692498806077,0.9589898170698828,3
544.255,45.3454039,-121.7089532,2011.204115932171,0.9501610138141384,1
550.07104,45.3454036,-121.7089544,1356.8588409044662,0.9595374038836293,2
556.025,45.345403999999995,-121.708953,1537.4014336064329,0.9152212331338184,0
561.705,45.3454048,-121.70895379999999,2994.54921024088,0.9628068619990676,3
567.48303,45.345404699999996,-121.70895279999999,267.11273435796824,0.42820136208962056,1
573.539,45.345404599999995,-121.70895399999999,1054.4765153975968,0.9257394959717111,2
579.552,45.345405,-121.70895259999999,2046.5064744657134,0.9342229594174658,0
585.267,45.3454057,-121.70895329999999,2228.205189103562,0.9607642417339826,3
591.22504,45.3454057,-121.70895229999999,1381.5592843294178,0.9143838111467815,1
597.13306,45.3454054,-121.7089534,1018.4091845880259,0.8577450903654508,2
603.17303,45.345406,-121.70895209999999,1593.738917500782,0.9357501169553822,0
608.937,45.3454067,-121.7089527,1986.547337222575,0.9544306013968709,3
614.90204,45.3454066,-121.70895159999999,1812.524265789549,0.954724076644912,1
